1596.75,0.0285946023420086
2395.125,0.295059420602591
3193.5,0.292068078773446
3991.875,0.59538563869857
4790.25,0.979839397156245
5588.625,0.886839826398765
6387,1.64807142400048
7185.375,2.79689465852007
7983.75,3.16673324079401
8782.125,3.0326901802155
9580.5,3.79578168652753
10378.875,3.43470431446936
11177.25,3.58909833780929
11975.625,4.8906457366269
12774,6.06126324103085
13572.375,7.16496177872955
14370.75,4.15572906850314
15169.125,9.35468085415459
15967.5,6.12783798709154
17564.25,8.9277574134928
18362.625,12.3631104103365
19161,14.448906527549
20757.75,16.4034187240866
21556.125,17.5384039312972
23152.875,22.6811671041946
23951.25,16.707648455833
25548,25.4387948993227
27144.75,26.3565274138833
28741.5,26.5056574929679
30338.25,33.2059741637468
31935,41.9809981582164
33531.75,44.4276712949288
35926.875,60.2834082271967
38322,95.2388480221336
39918.75,69.1053460257091
42313.875,121.396420206683
44709,128.729903886519
47902.5,127.954431953896
50297.625,153.087662894695
53491.125,173.134014203914
55886.25,141.526036884971
59878.125,170.937335992509
63071.625,191.703304655485
66265.125,199.560982692223
70257,230.315763164478
74248.875,238.193548154414
79039.125,247.424798720528
83031,256.948915957518
87821.25,253.377978469428
93409.875,262.833718235321
98998.5,240.480690309389
104587.125,255.87549946162
110175.75,279.218200279754
116562.75,266.197265822694
122949.75,280.040541578458
130135.125,314.970965529532
138118.875,328.372541127805
146102.625,310.629896611491
154086.375,307.634539518697
162868.5,383.065750517857
172449,418.37607186266
182827.875,434.922815387198
193206.75,479.070070910594
204384,488.010176572996
215561.25,482.722641099316
228335.25,501.704972646778
241109.25,498.545067868376
255480,482.441156060242
269850.75,481.797730626398
285019.875,517.499896587759
301785.75,570.546233755443
319350,616.744049123858
336914.25,630.315923123555
356873.625,636.821380762646
376833,653.334026783403
398389.125,664.245434568818
